player_id,player,team,minutes,goals,assists,shots,np_xg,key_passes,progressive_passes,progressive_carries,tackles,interceptions,pressures,aerials_won,aerials_total,dribbles_completed,through_balls,crosses,per90,goals_p90,assists_p90,shots_p90,np_xg_p90,key_passes_p90,progressive_passes_p90,progressive_carries_p90,tackles_p90,interceptions_p90,pressures_p90,aerials_won_p90,dribbles_completed_p90,through_balls_p90,crosses_p90,aerial_win_pct,source,depth,season,competition
3196,Wahbi Khazri,Sunderland,1081,2,1,25,0.7885470372999998,30,177,62,34,18,288,9,9,17,3,27,0.08325624421831637,0.17,0.08,2.08,0.07,2.5,14.74,5.16,2.83,1.5,23.98,0.75,1.42,0.25,2.25,100.0,statsbomb,event-level,2015/2016,Premier League
3448,Martin Kelly,Crystal Palace,1061,0,0,1,0.019187449,3,231,20,35,12,143,20,20,4,1,13,0.08482563619227144,0.0,0.0,0.08,0.0,0.25,19.59,1.7,2.97,1.02,12.13,1.7,0.34,0.08,1.1,100.0,statsbomb,event-level,2015/2016,Premier League
4817,Joe Ledley,Crystal Palace,977,1,0,7,0.355989402,3,83,8,20,19,209,19,19,4,2,1,0.09211873080859775,0.09,0.0,0.64,0.03,0.28,7.65,0.74,1.84,1.75,19.25,1.75,0.37,0.18,0.09,100.0,statsbomb,event-level,2015/2016,Premier League
9539,Vito Mannone,Sunderland,1713,0,0,0,0.0,0,599,36,0,0,2,0,0,0,0,0,0.05253940455341506,0.0,0.0,0.0,0.0,0.0,31.47,1.89,0.0,0.0,0.11,0.0,0.0,0.0,0.0,,statsbomb,event-level,2015/2016,Premier League
13286,Lamine Koné,Sunderland,1331,2,1,10,1.6360862857,2,209,39,25,42,135,67,67,4,1,2,0.067618332081142,0.14,0.07,0.68,0.11,0.14,14.13,2.64,1.69,2.84,9.13,4.53,0.27,0.07,0.14,100.0,statsbomb,event-level,2015/2016,Premier League
13846,Jan Kirchhoff,Sunderland,1072,0,0,9,1.0021134550000002,13,220,62,49,36,258,61,61,14,4,3,0.08395522388059702,0.0,0.0,0.76,0.08,1.09,18.47,5.21,4.11,3.02,21.66,5.12,1.18,0.34,0.25,100.0,statsbomb,event-level,2015/2016,Premier League
16295,Dame N''Doye,Sunderland,600,1,0,11,0.7051310829999998,3,46,23,15,6,105,31,31,5,3,4,0.15,0.15,0.0,1.65,0.11,0.45,6.9,3.45,2.25,0.9,15.75,4.65,0.75,0.45,0.6,100.0,statsbomb,event-level,2015/2016,Premier League
3576,Martin Olsson,Norwich City,1801,1,2,7,0.213022623,6,334,49,35,28,202,40,40,6,1,50,0.04997223764575236,0.05,0.1,0.35,0.01,0.3,16.69,2.45,1.75,1.4,10.09,2.0,0.3,0.05,2.5,100.0,statsbomb,event-level,2015/2016,Premier League
3656,Alex Pritchard,West Bromwich Albion,80,0,0,2,0.093362677,0,8,4,2,2,18,0,0,3,0,0,1.125,0.0,0.0,2.25,0.11,0.0,9.0,4.5,2.25,2.25,20.25,0.0,3.38,0.0,0.0,,statsbomb,event-level,2015/2016,Premier League
9452,Gary O''Neil,Norwich City,1810,0,0,11,0.685513635,8,323,38,57,31,385,34,34,22,3,16,0.049723756906077346,0.0,0.0,0.55,0.03,0.4,16.06,1.89,2.83,1.54,19.14,1.69,1.09,0.15,0.8,100.0,statsbomb,event-level,2015/2016,Premier League
